Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Cyril Grayson,10,212,2,4,2,62,8,0.8,0,0,12
Cam Sims,15,211,2,2,1,43,11,0.733,0,0,22
Geoff Swaim,31,210,3,2,0,26,12,0.387,0,0,40
Antoine Wesley,19,208,3,4,0,33,9,0.474,0,0,32
Robert Tonyan,18,204,2,4,0,33,10,0.556,0,0,29
Quintez Cephus,15,204,2,5,1,46,9,0.6,0,0,22
James Proche,16,202,0,2,0,32,10,0.625,0,0,20
Zack Moss,23,197,1,1,0,24,12,0.522,2,0,32
Logan Thomas,18,196,3,2,0,35,10,0.556,1,0,25
Samaje Perine,27,196,1,1,0,23,9,0.333,0,0,31
Maxx Williams,16,193,1,3,0,34,9,0.563,0,0,17
Donald Parham,20,190,3,1,0,22,13,0.65,0,0,26
Devonta Freeman,34,190,1,0,0,15,9,0.265,0,0,42
Ian Thomas,18,188,0,3,1,41,6,0.333,0,0,30
Mark Ingram,34,186,0,1,0,54,10,0.294,0,0,44
Rex Burkhead,25,186,0,2,0,20,9,0.36,0,0,32
N'Keal Harry,12,184,0,3,1,43,7,0.583,0,0,21
Noah Brown,16,184,0,3,0,27,6,0.375,0,0,25
Demetric Felton,18,181,2,2,0,33,10,0.556,0,0,21
Tommy Tremble,20,180,1,1,0,30,10,0.5,0,0,35
Isaiah McKenzie,20,178,1,1,0,28,13,0.65,0,0,26
Brevin Jordan,20,178,3,2,0,27,10,0.5,0,0,28
Justin Jackson,22,178,0,1,0,25,8,0.364,0,0,24
Mohamed Sanu,15,177,0,1,0,21,12,0.8,0,0,24
Darrell Henderson,29,176,3,2,0,25,8,0.276,0,0,40
Kendall Hinton,15,175,1,2,1,40,10,0.667,0,0,23
Kareem Hunt,22,174,0,1,0,23,10,0.455,0,0,27
Chuba Hubbard,25,174,1,1,0,33,8,0.32,0,0,37
Nick Chubb,20,174,1,2,1,40,9,0.45,0,0,25
