Player,FF,FR,FR TD
Darius Leonard,8,2,0
Josh Norman,7,0,0
Joey Bosa,7,0,0
Chandler Jones,6,1,0
T.J. Watt,5,3,0
Trevis Gipson,5,1,0
Isaiah Simmons,4,0,0
Robert Quinn,4,0,0
Mike Hughes,4,1,1
Markus Golden,4,2,0
Aaron Donald,4,0,0
Nick Bosa,4,0,0
Kenny Young,3,2,0
Quincy Williams,3,0,0
Montez Sweat,3,0,0
Eric Rowe,3,0,0
James Pierre,3,0,0
Micah Parsons,3,0,0
Odafe Oweh,3,2,0
Terrance Mitchell,3,0,0
Derwin James,3,0,0
Trey Hendrickson,3,0,0
Randy Gregory,3,1,0
Dante Fowler Jr.,3,0,0
Ashtyn Davis,3,0,0
Marcus Davenport,3,1,0
Ja'Whaun Bentley,3,0,0
Vonn Bell,3,1,0
Shaquil Barrett,3,2,0
Chase Young,2,0,0
Xavier Woods,2,0,0
Antoine Winfield Jr.,2,0,0
Marco Wilson,2,0,0
Leonard Williams,2,1,0
Kyzir White,2,0,0
Tershawn Wharton,2,0,0
Armon Watts,2,0,0
Kyle Van Noy,2,1,0
Solomon Thomas,2,0,0
Davion Taylor,2,0,0
Preston Smith,2,1,0
Logan Ryan,2,1,0
A'Shawn Robinson,2,0,0
Elandon Roberts,2,0,0
Jalen Reeves-Maybin,2,1,0
Malik Reed,2,1,0
Jarran Reed,2,0,0
Haason Reddick,2,1,0
Germaine Pratt,2,2,0
Jason Pinnock,2,0,0
Jeremiah Owusu-Koramoah,2,0,0
Obo Okoronkwo,2,0,0
Uchenna Nwosu,2,1,0
Yannick Ngakoue,2,0,0
C.J. Mosley,2,0,0
Jake Martin,2,0,0
Avonte Maddox,2,0,0
DeMarcus Lawrence,2,0,0
Damontae Kazee,2,0,0
Cameron Jordan,2,0,0
D.J. Jones,2,0,0
Quinton Jefferson,2,0,0
Jerry Hughes,2,0,0
Xavien Howard,2,2,1
Cole Holcomb,2,0,0
Charles Harris,2,0,0
Kamu Grugier-Hill,2,0,0
Jonathan Greenard,2,0,0
Rashan Gary,2,0,0
Lavonte David,2,1,0
Michael Danna,2,0,0
Fletcher Cox,2,1,1
Jadeveon Clowney,2,0,0
Frank Clark,2,0,0
Andre Cisco,2,0,0
Lorenzo Carter,2,1,0
Tevaughn Campbell,2,0,0
De'Vondre Campbell,2,1,0
Kevin Byard,2,1,1
Brian Burns,2,0,0
Bashaud Breeland,2,0,0
Tyus Bowser,2,0,0
Mario Addison,2,0,0
Tyrell Adams,2,0,0
Jabari Zuniga,1,0,0
Rock Ya-Sin,1,1,0
Chris Wormley,1,0,0
D.J. Wonnum,1,0,0
Deatrich Wise,1,0,0
Logan Wilson,1,0,0
Damien Wilson,1,0,0
Jordan Willis,1,0,0
Marcus Williams,1,0,0
K'Waun Williams,1,0,0
P.J. Williams,1,0,0
Avery Williams,1,0,0
Christian Wilkins,1,0,0
Greedy Williams,1,0,0
Jordan Whitehead,1,0,0
Tre'Davious White,1,0,0
Kevin White,1,0,0
J.J. Watt,1,0,0
Fred Warner,1,3,0
Jonathan Ward,1,0,0
DeMarcus Walker,1,0,0
Bobby Wagner,1,0,0
James Vaughters,1,0,0
Andrew Van Ginkel,1,0,0
Shy Tuttle,1,0,0
Derrek Tuszka,1,0,0
Juan Thornhill,1,0,0
Tavierre Thomas,1,0,0
Mike Thomas,1,0,0
A.J. Terrell,1,0,0
Keith Taylor,1,0,0
Darrell Taylor,1,0,0
Sione Takitaki,1,1,0
Josh Sweat,1,0,0
Cameron Sutton,1,0,0
Grant Stuard,1,0,0
Kentavius Street,1,0,0
M.J. Stewart,1,0,0
Grover Stewart,1,0,0
Julian Stanford,1,0,0
E.J. Speed,1,0,0
L'Jarius Sneed,1,0,0
Dawuane Smoot,1,0,0
Harrison Smith,1,0,0
Elerson G. Smith,1,0,0
DeVonta Smith,1,0,0
Alex Singleton,1,0,0
Zach Sieler,1,2,0
Andrew Sendejo,1,0,0
Joe Schobert,1,0,0
Anthony Rush,1,0,0
Greg Rousseau,1,0,0
Quincy Roche,1,0,0
Alton Robinson,1,0,0
Christian Ringo,1,1,0
Hassan Ridgeway,1,0,0
Sheldon Richardson,1,1,0
Justin Reid,1,0,0
Wyatt Ray,1,0,0
Jalen Ramsey,1,0,0
David Quessenberry,1,0,0
Patrick Queen,1,0,0
Jason Pierre-Paul,1,0,0
Michael Pierce,1,0,0
Adrian Phillips,1,0,0
Denzel Perryman,1,2,0
Kyle Peko,1,0,0
Kwity Paye,1,2,0
AJ Parker,1,0,0
Foye Oluokun,1,0,0
Qadree Ollison,1,0,0
Isaiah Oliver,1,1,0
Ed Oliver,1,0,0
Julian Okwara,1,1,0
Alex Okafor,1,0,0
Azeez Ojulari,1,0,0
Alec Ogletree,1,0,0
Emmanuel Ogbah,1,0,0
George Odum,1,1,0
Dayo Odeyingbo,1,0,0
Rakeem Nunez-Roches,1,0,0
Siran Neal,1,0,0
Carl Nassib,1,0,0
Byron Murphy,1,0,0
Al-Quadin Muhammad,1,0,0
Foster Moreau,1,1,0
Kenny Moore II,1,0,0
A.J. Moore,1,0,0
Bryan Mone,1,0,0
Elijah Molden,1,0,0
Von Miller,1,0,0
Steve McLendon,1,0,0
Takkarist McKinley,1,0,0
Arthur Maulet,1,0,0
Jake Matthews,1,0,0
Blake Lynch,1,1,0
Frankie Luvu,1,0,0
Terrell Lewis,1,0,0
Jourdan Lewis,1,2,0
Cam Lewis,1,0,0
Dexter Lawrence,1,0,0
Harold Landry,1,0,0
Nick Kwiatkoski,1,0,0
Tanoh Kpassagnon,1,0,0
Dawson Knox,1,0,0
Desmond King,1,0,0
Kingsley Keke,1,0,0
