Player,FF,FR,FR TD
Khalid Kareem,1,1,0
Dre'Mont Jones,1,0,0
Deion Jones,1,0,0
DaQuan Jones,1,0,0
Chris Jones,1,1,0
Byron Jones,1,0,0
Brandon Jones,1,2,0
Clay Johnston,1,0,0
Tyron Johnson,1,0,0
Taron Johnson,1,0,0
John Johnson,1,0,0
Jaylon Johnson,1,0,0
Dontae Johnson,1,1,0
Danny Johnson,1,0,0
Josey Jewell,1,0,0
Malcolm Jenkins,1,0,0
Janoris Jenkins,1,0,0
Jesse James,1,0,0
Jerry Jacobs,1,0,0
Tarron Jackson,1,0,0
J.C. Jackson,1,0,0
Eddie Jackson,1,0,0
Donte Jackson,1,0,0
Joel Iyiegbuniwe,1,0,0
Melvin Ingram,1,0,0
Micah Hyde,1,2,0
Marlon Humphrey,1,0,0
Sam Hubbard,1,2,0
Justin Houston,1,0,0
Amani Hooker,1,0,0
Travis Homer,1,1,0
Justin Hollins,1,0,0
Nate Hobbs,1,0,0
Mike Hilton,1,0,0
Alex Highsmith,1,0,0
Jordan Hicks,1,0,0
Cameron Heyward,1,1,0
Rob Havenstein,1,0,0
Shelby Harris,1,0,0
Javon Hargrave,1,0,0
Will Harris,1,0,0
Joe Haden,1,0,0
Yetur Gross-Matos,1,0,0
Shaquill Griffin,1,0,0
Everson Griffen,1,0,0
Richie Grant,1,0,0
Davon Godchaux,1,0,0
Kevin Givens,1,0,0
Mark Gilbert,1,0,0
Myles Garrett,1,1,1
John Franklin-Myers,1,0,0
Morgan Fox,1,1,0
Leki Fotu,1,0,0
Dee Ford,1,0,0
Leonard Floyd,1,1,0
Trey Flowers,1,0,0
Minkah Fitzpatrick,1,0,0
Rashad Fenton,1,0,0
Demetric Felton,1,0,0
Matthias Farley,1,1,0
George Fant,1,0,0
Kyler Fackrell,1,1,0
Rashaan Evans,1,1,0
Mike Edwards,1,0,0
Samson Ebukam,1,0,0
Bud Dupree,1,0,0
Carlos Dunlap,1,0,0
Rasul Douglas,1,0,0
Pierre Desir,1,0,0
Grant Delpit,1,0,0
Akeem Davis-Gaither,1,0,0
Jalen Davis,1,0,0
Frank Darby,1,0,0
Cameron Dantzler,1,0,0
DeeJay Dallas,1,0,0
Dominique Dafney,1,0,0
Zach Cunningham,1,0,0
Dane Cruikshank,1,0,0
Tae Crowder,1,0,0
Keion Crossen,1,0,0
Christian Covington,1,0,0
Landon Collins,1,1,0
A.J. Cole,1,0,0
Dylan Cole,1,0,0
Ross Cockrell,1,0,0
Jeremy Chinn,1,1,0
Sean Chandler,1,0,0
Devin Bush,1,0,0
Sean Murphy-Bunting,1,0,0
Myles Bryant,1,0,0
Anthony Brown,1,0,0
A.J. Bouye,1,0,0
Julian Blackmon,1,0,0
Ross Blacklock,1,0,0
Henry Black,1,0,0
Justin Bethel,1,0,0
Nick Bellore,1,0,0
Tarell Basham,1,1,0
Jerome Baker,1,0,0
J.J. Arcega-Whiteside,1,0,0
Ugo Amadi,1,0,0
Azeez Al-Shaair,1,2,0
Josh Allen,1,1,0
Dakota Allen,1,0,0
Kwon Alexander,1,1,0
Nasir Adderley,1,1,0
