Player,INT,INT TD,INT Yds,Lng
Trevon Diggs,11,2,142,59
J.C. Jackson,8,1,92,88
Amani Oruwariye,6,0,73,50
Justin Simmons,5,0,76,35
Jordan Poyer,5,0,87,26
Xavier McKinney,5,1,64,41
Micah Hyde,5,1,59,26
Xavien Howard,5,1,54,37
Rasul Douglas,5,2,105,55
Quandre Diggs,5,0,68,29
Kevin Byard,5,1,66,24
Logan Wilson,4,0,31,18
Pat Surtain II,4,1,70,70
Taylor Rapp,4,0,31,18
Jalen Ramsey,4,0,41,25
Adrian Phillips,4,1,39,26
Byron Murphy,4,1,49,29
Kenny Moore II,4,0,78,32
Bobby McCain,4,1,63,30
Darius Leonard,4,0,12,7
Kyle Dugger,4,0,100,37
James Bradberry,4,0,19,14
Xavier Woods,3,0,54,27
Ahkello Witherspoon,3,0,45,41
P.J. Williams,3,1,86,46
Denzel Ward,3,1,103,99
Jalen Thompson,3,0,49,33
A.J. Terrell,3,0,42,35
Chandon Sullivan,3,0,14,13
Darius Slay,3,1,76,51
Isaiah Rodgers,3,0,24,12
Foye Oluokun,3,0,80,56
Devin McCourty,3,0,22,22
Tyrann Mathieu,3,1,56,34
Jourdan Lewis,3,0,88,66
Marshon Lattimore,3,0,35,20
Desmond King,3,0,25,25
John Johnson,3,0,31,31
Lonnie Johnson,3,0,47,32
Chauncey Gardner-Johnson,3,0,45,26
Mike Edwards,3,2,46,31
Anthony Brown,3,1,45,45
Anthony Barr,3,0,11,8
Budda Baker,3,0,101,77
Anthony Averett,3,0,21,21
Paulson Adebo,3,0,50,33
Antoine Winfield Jr.,2,0,30,30
Eric Wilson,2,0,14,14
Khari Willis,2,0,0,0
Marcus Williams,2,0,56,53
Greedy Williams,2,0,7,7
Jordan Whitehead,2,0,24,17
Kyzir White,2,0,22,22
Jimmie Ward,2,1,27,27
Charvarius Ward,2,0,0,0
Levi Wallace,2,0,29,15
Tavierre Thomas,2,1,48,48
Cameron Sutton,2,0,4,4
Caden Sterns,2,0,47,46
Daniel Sorensen,2,1,75,75
L'Jarius Sneed,2,0,2,2
Malcolm Smith,2,0,1,1
Nick Scott,2,0,3,3
Darnell Savage,2,0,0,0
Asante Samuel Jr.,2,0,26,26
Justin Reid,2,0,45,24
Troy Reeder,2,0,2,2
D.J. Reed,2,0,9,7
Bobby Okereke,2,0,20,16
Nik Needham,2,1,28,28
Rodney McLeod,2,0,24,24
David Long,2,0,6,6
Eric Kendricks,2,0,22,22
Jayron Kearse,2,0,34,34
Damontae Kazee,2,0,8,8
Ernest Jones,2,0,50,31
Derwin James,2,0,20,15
William Jackson,2,0,0,0
Donte Jackson,2,0,21,21
Jevon Holland,2,0,0,0
Cole Holcomb,2,1,54,31
Mike Hilton,2,1,59,35
Jaylinn Hawkins,2,0,11,11
Duron Harmon,2,0,0,0
Shaq Thompson,2,0,39,29
Tashaun Gipson,2,0,31,31
Stephon Gilmore,2,0,13,13
Willie Gay Jr.,2,0,14,13
Kristian Fulton,2,0,13,13
Minkah Fitzpatrick,2,0,18,18
Rashaan Evans,2,0,1,1
Terrell Edmunds,2,0,15,15
Brandin Echols,2,1,50,30
Pierre Desir,2,0,0,0
Jamel Dean,2,0,6,6
Ashtyn Davis,2,0,18,18
Tae Crowder,2,0,26,17
Landon Collins,2,0,3,3
Justin Coleman,2,0,0,0
Chuck Clark,2,1,17,17
Tyson Campbell,2,0,3,3
De'Vondre Campbell,2,0,15,13
Deon Bush,2,0,42,27
Bashaud Breeland,2,0,26,18
Chidobe Awuzie,2,0,42,42
Eli Apple,2,0,50,50
Adrian Amos,2,0,0,0
Jamal Adams,2,0,0,0
Andrew Wingard,1,0,23,23
Damien Wilson,1,0,1,1
K'Waun Williams,1,0,4,4
Tre'Davious White,1,0,0,0
Tershawn Wharton,1,0,0,0
Carlos Watkins,1,1,29,29
Tracy Walker III,1,0,5,5
Mykal Walker,1,1,66,66
Bobby Wagner,1,0,3,3
Nick Vigil,1,1,38,38
Kyle Van Noy,1,1,35,35
Leighton Vander Esch,1,0,7,7
Tavon Young,1,0,0,0
Juan Thornhill,1,0,13,13
Ambry Thomas,1,0,0,0
Geno Stone,1,0,0,0
Eric Stokes,1,0,0,0
Roquan Smith,1,1,53,53
Harrison Smith,1,0,10,10
Buster Skrine,1,0,17,17
Alex Singleton,1,1,29,29
Isaiah Simmons,1,0,0,0
Richard Sherman,1,0,0,0
Joe Schobert,1,0,23,23
Greg Rousseau,1,0,3,3
Robert Rochell,1,0,1,1
Bradley Roby,1,0,2,2
Elandon Roberts,1,1,85,85
Malcolm Roach,1,0,5,5
Xavier Rhodes,1,0,4,4
Germaine Pratt,1,0,4,4
James Pierre,1,0,0,0
Patrick Peterson,1,1,66,66
AJ Parker,1,0,0,0
Jonathan Owens,1,0,7,7
Julian Okwara,1,0,9,9
George Odum,1,0,21,21
Uchenna Nwosu,1,0,2,2
Tre Norwood,1,0,0,0
Josh Norman,1,0,33,33
Nick Niemann,1,0,0,0
Steven Nelson,1,0,4,4
Sharrod Neasman,1,0,13,13
Eric Murray,1,0,0,0
Trayvon Mullen,1,0,15,15
Emmanuel Moseley,1,0,0,0
C.J. Moore,1,0,21,21
Elijah Molden,1,1,2,2
Trevon Moehrig,1,0,35,35
Terrance Mitchell,1,0,22,22
Steve McLendon,1,0,0,0
Tyler Matakevich,1,0,15,15
Avonte Maddox,1,0,0,0
Blake Lynch,1,0,2,2
Julian Love,1,0,0,0
David Long,1,0,0,0
Tyquan Lewis,1,0,8,8
Shaq Lawson,1,0,1,1
Nevin Lawson,1,0,11,11
DeMarcus Lawrence,1,1,40,40
A.J. Klein,1,0,12,12
Christian Kirksey,1,0,1,1
Kevin King,1,0,0,0
Jonathan Jones,1,0,0,0
Brandon Jones,1,0,8,8
Taron Johnson,1,0,4,4
Jaylon Johnson,1,0,3,3
Jaquan Johnson,1,0,25,25
Malcolm Jenkins,1,1,34,34
Janoris Jenkins,1,0,0,0
Kareem Jackson,1,0,7,7
Adoree' Jackson,1,0,10,10
Marlon Humphrey,1,0,0,0
Mike Hughes,1,0,0,0
Travin Howard,1,0,19,19
DeAndre Houston-Carson,1,0,0,0
Jaycee Horn,1,0,13,13
Malik Hooker,1,0,0,0
Amani Hooker,1,0,21,21
Darnay Holmes,1,0,15,15
Nate Hobbs,1,0,9,9
Anthony Hitchens,1,0,0,0
Cameron Heyward,1,0,0,0
Casey Hayward,1,0,0,0
Ronnie Harrison,1,0,0,0
Marcell Harris,1,0,2,2
Chris Harris,1,0,0,0
Anthony Harris,1,0,2,2
Vernon Hargreaves III,1,0,18,18
Kamu Grugier-Hill,1,0,82,82
Randy Gregory,1,0,12,12
Dre Greenlaw,1,1,39,39
A.J. Green,1,0,1,1
Alohi Gilman,1,0,0,0
Kendall Fuller,1,0,0,0
Jordan Fuller,1,0,34,34
John Franklin-Myers,1,0,32,32
Zaire Franklin,1,0,8,8
Rudy Ford,1,0,8,8
Leonard Floyd,1,0,11,11
Brandon Facyson,1,0,0,0
Marcus Epps,1,0,0,0
DeShon Elliott,1,0,0,0
T.J. Edwards,1,0,1,1
Tremaine Edmunds,1,0,4,4
Grant Delpit,1,0,5,5
Dee Delaney,1,0,26,26
Michael Davis,1,0,0,0
Carlton Davis,1,0,25,25
Marlon Davidson,1,1,3,3
Cameron Dantzler,1,0,0,0
Maliek Collins,1,0,0,0
Jamie Collins,1,0,1,1
Bradley Chubb,1,0,21,21
Jeremy Chinn,1,0,0,0
Lorenzo Carter,1,0,1,1
Camryn Bynum,1,0,27,27
Juston Burris,1,0,17,17
Myles Bryant,1,0,33,33
Jayon Brown,1,0,2,2
Angelo Blackson,1,0,6,6
Henry Black,1,0,0,0
Vonn Bell,1,0,15,15
Jessie Bates,1,0,65,65
Shaquil Barrett,1,0,3,3
Jerome Baker,1,0,0,0
Alex Anzalone,1,0,0,0
Ugo Amadi,1,0,12,12
Azeez Al-Shaair,1,0,24,24
Zach Allen,1,0,25,25
Josh Allen,1,0,11,11
Robert Alford,1,0,23,23
Kwon Alexander,1,0,0,0
Jaire Alexander,1,0,30,30
Andrew Adams,1,0,17,17
Johnathan Abram,1,0,6,6
